dataset,query_id,query,pipeline,pipeline_label,top1_doc_id,top1_is_relevant,ranked_ids,hit@1,mrr@10,recall@10,ndcg@10
DuRetrieval,a451acd1e9836b04b16664e9f0c290e5,如何查看好友申请,mainstream_dense_rerank,主流 RAG 方案 A（Dense + Rerank）,fd22687b92775c941cf872a4414f707c,False,"['fd22687b92775c941cf872a4414f707c', '5c2ea4d6ade584a100db8a00c800bc49', 'cf8e80db48c1afe07bd7127c3470d128', '5b8046bbf1d560b7c0c710d62a776cd0', '00a5331f3f3f6b2139a38aa380ff76ee', '6c9523b1a3374ad6ea0c56a8787c079f', 'd1748bebf07dac59a14b273c6f4199a5', '77a5a52722d32be17d12f464d5ff3021', '814ce07e5662dae9d27eaee3d4018707', '56267d8c8009be61ff28fa3ba92a9889']",0.0,0.0,0.0,0.0
DuRetrieval,ba62cc123e5631fc2e8705241c20cd61,宝鸡装修房子多钱,mainstream_dense_rerank,主流 RAG 方案 A（Dense + Rerank）,1ce2a26eb6e70df82f6ce29df5be117d,False,"['1ce2a26eb6e70df82f6ce29df5be117d', '81011a63078291ef68c4e089064c7eb2', 'f4165901dd3f7986f717931bfab49c9d', '7a22babdf9c8a9c2872cc36e607ecab7', 'b4e74d34da30e4d7a5f7270c480f22c1', '71c5cd69d4ead37d1eac9491e0d6383c', '6f243176e8fb612282505cee2d850c39', 'c623b6e084f330007cb24aeaecdcb721', '825fce740c2bca4f0c6a602f44efc297', 'f4dcbc83032fc279e5c533b36033d69a']",0.0,0.0,0.0,0.0
DuRetrieval,2b68efa248d341064a71a1b7e75235aa,淘宝的验证码看不清楚,mainstream_hybrid_rrf_rerank,主流 RAG 方案 B（Hybrid + RRF + Rerank）,9cb4a5df4780d8d6b41feb9ce3eeb3cc,False,"['9cb4a5df4780d8d6b41feb9ce3eeb3cc', 'c18198bec05b5acd2b578a1be02f6a0e', '9a750705a9be7a7e84fe6053d05d00b3', 'e21154a7a15164af3da9a244529baf6b', '426d510f27330367913949e464d17cf4', '155a511f2ea60d683102984a3a62c857', 'edf4d625bb72e7d784ceb0f0402452de', '42ef8f18580ac81d078c317089f19fc0', '79b645a39b7987c9d8e16984496546e7', 'e4ea8e329c568f6d106091365736e5e2']",0.0,0.0,0.0,0.0
DuRetrieval,00a969b83d0bda551c8ba5ef9ad9d3e8,eve回电是什么,mainstream_hybrid_rrf_rerank,主流 RAG 方案 B（Hybrid + RRF + Rerank）,6a7667f42b8bb7d96f3a80285834b15e,False,"['6a7667f42b8bb7d96f3a80285834b15e', '7da9ab069e42fc02917a8caaca515b50', 'c75c6c077c78338de9a821494da58563', 'af6a07efec5bbc1dd60403bf05c630d6', '69776931ca172361dbf63fbd40062f50', 'f21af791e1a0a6c69bec7c08a5f2762b', '5c2ea4d6ade584a100db8a00c800bc49', '4665e62e9e2dbca19da081359958bf99', '6abbd0e9a2fb20040fc76fe59a4ceb9c', '62115664584e480a5d49e58a13888d62']",0.0,0.0,0.0,0.0
DuRetrieval,2b68efa248d341064a71a1b7e75235aa,淘宝的验证码看不清楚,our_adaptive_hybrid_rerank,我们的方案（自适应混合 + 精排）,5da65ee4539f5b6a8c941e86b2628d79,False,"['5da65ee4539f5b6a8c941e86b2628d79', 'baa37b40858beecf6cf8a3e3bbb3e940', 'cf88ac8b5facde426323b4cb2aba6536', 'f8e779c35cefb4b41c908cf6750c8928', '9cb4a5df4780d8d6b41feb9ce3eeb3cc', 'c18198bec05b5acd2b578a1be02f6a0e', '9a750705a9be7a7e84fe6053d05d00b3', 'f52ce6b22eddfd5ca7951f9985f5cac8', 'e21154a7a15164af3da9a244529baf6b', 'd594d3abe1c1250074f19c2e4e4c6046']",0.0,0.0,0.0,0.0
DuRetrieval,00a969b83d0bda551c8ba5ef9ad9d3e8,eve回电是什么,our_adaptive_hybrid_rerank,我们的方案（自适应混合 + 精排）,6a7667f42b8bb7d96f3a80285834b15e,False,"['6a7667f42b8bb7d96f3a80285834b15e', '7da9ab069e42fc02917a8caaca515b50', 'c75c6c077c78338de9a821494da58563', 'e39ebf1fcc619900f6f10d0c11941f94', 'af6a07efec5bbc1dd60403bf05c630d6', '69776931ca172361dbf63fbd40062f50', '9fe823fae01da4a58f3a4502d412601b', '6d3647955f50a0cf7aefe6ea2f3928d0', '03909ab11014a38f802822f8ccb284ca', '5404a1f34104ccc37a7e9be00596f031']",0.0,0.0,0.0,0.0
T2Retrieval,1,生产过后怎么还有一层肚子,mainstream_dense_rerank,主流 RAG 方案 A（Dense + Rerank）,307284,False,"['307284', '444293', '466960', '565061', '204761', '603795', '595992', '135783', '734439', '430479']",0.0,0.0,0.0,0.0
T2Retrieval,14,长条气球怎么做爱心,mainstream_dense_rerank,主流 RAG 方案 A（Dense + Rerank）,479684,False,"['479684', '597784', '664765', '746761', '75749', '347452', '640909', '41220', '365403', '396224']",0.0,0.0,0.0,0.0
T2Retrieval,324,一斤牛糕吃多久合适,mainstream_hybrid_rrf_rerank,主流 RAG 方案 B（Hybrid + RRF + Rerank）,484417,False,"['484417', '613162', '455271', '259820', '232810', '100701', '720991', '2911', '428062', '117829']",0.0,0.0,0.0,0.0
T2Retrieval,360,既字的部首读做什么,mainstream_hybrid_rrf_rerank,主流 RAG 方案 B（Hybrid + RRF + Rerank）,373997,False,"['373997', '721642', '546216', '756916', '616112', '429058', '567539', '268061', '180443', '47287']",0.0,0.0,0.0,0.0
T2Retrieval,324,一斤牛糕吃多久合适,our_adaptive_hybrid_rerank,我们的方案（自适应混合 + 精排）,484417,False,"['484417', '37384', '613162', '455271', '259820', '193049', '232810', '100701', '243942', '720991']",0.0,0.0,0.0,0.0
T2Retrieval,360,既字的部首读做什么,our_adaptive_hybrid_rerank,我们的方案（自适应混合 + 精排）,373997,False,"['373997', '721642', '756916', '420307', '616112', '429058', '567539', '268061', '180443', '47287']",0.0,0.0,0.0,0.0
